,Features,Score
0,Date,0.0
11,shirt_type,0.0
19,longitude,0.0
18,latitude,0.0
17,Spectacles,0.0
16,Dryer_No,0.0
15,Washer_No,0.0
14,Wash_Item,0.0
13,pants_type,0.0
12,Pants_Colour,0.0
